station_id,latitude,longitude,time,coral_cover,bleaching_percentage,species_count
0,25.0737207976966,-80.59011716108024,2020-01-31,26.4466731696871,4.619595285010333,15
0,25.0737207976966,-80.59011716108024,2020-07-31,29.960256899669055,10.690906201662239,13
0,25.0737207976966,-80.59011716108024,2021-01-31,34.17822993555858,0.1413662183728981,11
0,25.0737207976966,-80.59011716108024,2021-07-31,39.61773820222315,7.078559103505757,14
0,25.0737207976966,-80.59011716108024,2022-01-31,23.09943715906399,4.350272369748978,17
0,25.0737207976966,-80.59011716108024,2022-07-31,23.058129306962563,6.765865808011169,9
0,25.0737207976966,-80.59011716108024,2023-01-31,43.88277302745497,9.25317990284913,17
0,25.0737207976966,-80.59011716108024,2023-07-31,38.22639535023132,2.5580121649609247,18
1,24.547173824394363,-80.80281621629462,2020-01-31,18.245562526488328,3.122940728751826,12
1,24.547173824394363,-80.80281621629462,2020-07-31,22.799355058022986,7.718012463516628,16
1,24.547173824394363,-80.80281621629462,2021-01-31,32.579473328101976,7.905031292254791,18
1,24.547173824394363,-80.80281621629462,2021-07-31,34.969480842552926,3.5205930235513554,13
1,24.547173824394363,-80.80281621629462,2022-01-31,29.99058134506004,3.186548874366109,11
1,24.547173824394363,-80.80281621629462,2022-07-31,27.014113119338486,3.0363386502466563,16
1,24.547173824394363,-80.80281621629462,2023-01-31,15.232766163089641,11.575919514316883,19
1,24.547173824394363,-80.80281621629462,2023-07-31,32.01166392565833,5.725386503057512,17
2,24.705011857537325,-80.7209064658613,2020-01-31,30.486471319143998,6.410419066053171,21
2,24.705011857537325,-80.7209064658613,2020-07-31,21.128284057682315,4.541326769507829,10
2,24.705011857537325,-80.7209064658613,2021-01-31,31.345257396949133,6.0901608674555465,13
2,24.705011857537325,-80.7209064658613,2021-07-31,34.11109055030255,5.726492635945325,22
2,24.705011857537325,-80.7209064658613,2022-01-31,41.83002989767936,1.3847793157920494,20
2,24.705011857537325,-80.7209064658613,2022-07-31,14.17264097517334,9.147753449978211,12
2,24.705011857537325,-80.7209064658613,2023-01-31,32.54817875724481,7.87070529327122,16
2,24.705011857537325,-80.7209064658613,2023-07-31,7.674062945559502,5.44308266519063,10
3,24.944391238321213,-81.04128677144115,2020-01-31,12.10326543247183,6.385007908404061,16
3,24.944391238321213,-81.04128677144115,2020-07-31,32.63137281813156,9.054535152514728,22
3,24.944391238321213,-81.04128677144115,2021-01-31,30.53263931229718,8.01671879112702,16
3,24.944391238321213,-81.04128677144115,2021-07-31,36.687641609342165,4.537545025750937,11
3,24.944391238321213,-81.04128677144115,2022-01-31,32.82766968381999,8.642118093967898,12
3,24.944391238321213,-81.04128677144115,2022-07-31,54.845809842450635,7.014723693541067,19
3,24.944391238321213,-81.04128677144115,2023-01-31,39.33693901815104,6.476847121009699,20
3,24.944391238321213,-81.04128677144115,2023-07-31,40.8955882369271,0.0,20
